# pirkc																																														
# start year																																															
1976																																															
# endyr																																															
2023																																															
# number of years																																															
48																																															
# years																																															
1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
# number of sizes																																															
35																																															
# sizes																																															
47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5													
# numbers																																															
50778.34904	228476.8644	367139.7254	199032.709	452189.3695	83002.78176	352166.4796	144735.0479	76883.43557	16822.6846	38418.88373	18610.95264	1963774.597	1844076.145	7826526.91	3100675.274	1861537.842	3787997.18	3452062.441	5604145.495	683610.6941	3155556.493	1192015.2	9102897.625	1674066.607	6157584.351	1910262.93	1506200.797	2196794.785	302997.4205	1508612.503	1453871.107	1721466.997	923132.6513	1512074.707	1052227.597	1609444.49	1831376.622	3036807.257	3662609.706	1807323.293	1158383.101	1804399.604	1148964.483	0	1278704.383	1327879.391	734939.4997
# numbers at carapace length																																															
0	0	0	0	0	0	0	0.012854571	0	0	0.038563714	0.012854571	0.038563714	0.012854571	0.038563714	0.025709143	0.0504558	0.012854571	0.095605218	0.063600594	0.050936273	0.025709143	0.025709143	0	0	0	0.101633577	0.138955639	0.076463353	0.050364769	0.089520771	0.025484768	0.012742384	0	0													
0	0	0	0	0	0	0	0.021015518	0.021015518	0.052538795	0.031523277	0.042031036	0.031523277	0.021015518	0.02107998	0.063523956	0.021694774	0.0425729	0.021015518	0.075730237	0.053695453	0.032000679	0.011140879	0.011187015	0.027568551	0	0.03271167	0.099283147	0.088775388	0.08940385	0.065579034	0	0.022374031	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0.019276554	0.038553108	0.040065133	0.077106215	0.099406821	0.152458175	0.157236482	0.038553108	0.098180503	0.081658895	0.057829662	0.038553108	0.019276554	0.019276554	0	0	0	0.043006866	0.019562262	0	0	0													
0	0	0	0.012971513	0.016655917	0	0	0	0	0	0	0	0	0.012971513	0.011600631	0.05360573	0.040634218	0.091339642	0.106324574	0.102923915	0.05594227	0.118825153	0.068541968	0.077056909	0.079956316	0.039235519	0.011901672	0	0.052234849	0.01198915	0.0239783	0.01131024	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0.017278214	0.017278214	0.034469684	0.017278214	0.017278214	0.069026111	0.068939368	0.017278214	0.069026111	0.104238601	0.154696424	0.103276436	0.051574412	0.086130839	0.017599458	0.051528538	0.068720009	0.017191471	0.017191471	0	0	0													
0	0	0	0	0	0	0	0	0	0.047513651	0.012106944	0.012106944	0.036320831	0.072641662	0.036320831	0.036320831	0.012106944	0	0.024907863	0.072641662	0.024213887	0.085385731	0.12198583	0.117093165	0.069956227	0.044751877	0.081092112	0.046847602	0.023299764	0	0	0.01119282	0.01119282	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0.039762085	0.020590583	0.010295292	0.041181167	0	0.010295292	0.025434582	0.030263793	0.014802446	0.045088278	0.093389046	0.112466672	0.103997087	0.094113055	0.089495615	0.092081263	0.073011988	0.088929312	0.014802446	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0.012310548	0.006078387	0.024313548	0.054705483	0.024313548	0.036470322	0.036470322	0.036470322	0.048934645	0.024774871	0.03054571	0.037392969	0.06216784	0.105331647	0.105625038	0.154819409	0.130721616	0.049857291	0.018696484	0	0	0	0													
0	0	0	0	0	0	0	0	0.004950658	0.005377304	0	0.009901316	0	0.009901316	0.009901316	0.014981585	0.034992019	0.014800552	0.054137841	0.048749892	0.03950242	0.049765802	0.02458169	0.04966296	0.04916338	0.078608488	0.099657039	0.142661472	0.118893978	0.084992865	0.044785181	0.010030928	0	0	0													
0	0	0	0	0	0	0	0	0	0.010431774	0.010431774	0.031471806	0.062943612	0.125246861	0.042256546	0.031471806	0.10467071	0.031295323	0.083983643	0.108362427	0.021040031	0.041727098	0.094062453	0.010431774	0	0.041727098	0	0.042574905	0.063862357	0.010431774	0.02072055	0.010855678	0	0	0													
0	0	0	0	0	0	0.015664637	0	0	0	0	0	0.01530113	0.048024552	0	0.031816633	0.03226121	0.016130605	0.063633267	0.073632756	0.062744113	0.031372057	0.157809115	0.152465631	0.046778189	0.078853327	0.047058085	0.078952032	0	0.015686028	0.031816633	0	0	0	0													
0	0	0	0	0	0	0	0	0	0.066003154	0.143006835	0.296829029	0.274507691	0.066003154	0	0	0.009666376	0.02181894	0.017509752	0	0.011000526	0.011000526	0.031531688	0	0.010411085	0	0.0103196	0.009666376	0.020725267	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0.04989483	0.045843846	0.132465952	0.099837789	0.270887468	0.121920243	0.015889522	0.048594582	0.033719986	0.04314562	0.017314795	0	0.043270646	0.042585129	0.017314795	0	0.017314795	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0.029909197	0.029909197	0	0.014954598	0.029909197	0.029716818	0.08771621	0.087418859	0.101280079	0.161413316	0.103674049	0.104892742	0.131770363	0.027838748	0.03012648	0.015122169	0	0.014347979	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127316	0	0.012817638	0.039600162	0.065300131	0.145027516	0.197926033	0.159001675	0.196440231	0.078178412	0.026493882	0.06648272	0	0	0	0	0	0													
0	0	0.025567202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024665192	0	0.047622696	0.099502973	0.196070899	0.170969402	0.096950395	0.266183148	0.047758866	0.024709227	0	0	0	0	0	0													
# probability of molting																																															
0.998460874	0.997817284	0.996905409	0.995614253	0.993787747	0.991207284	0.987568349	0.982450078	0.9752773	0.96527657	0.951431846	0.932453309	0.906785277	0.872694962	0.82849523	0.772942259	0.705785028	0.628316188	0.543638687	0.456361313	0.371683812	0.294214972	0.227057741	0.17150477	0.127305038	0.093214723	0.067546691	0.048568154	0.03472343	0.0247227	0.017549922	0.012431651	0.008792716	0.006212253	0.004385747													
# size transition matrix																																															
5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
9.10E-24	1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
5.67E-31	9.10E-24	1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
3.64E-39	5.67E-31	9.10E-24	1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
2.41E-48	3.64E-39	5.67E-31	9.10E-24	1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
1.64E-58	2.41E-48	3.64E-39	5.67E-31	9.10E-24	1.50E-17	2.56E-12	4.50E-08	8.13E-05	0.015140668	0.290594788	0.574642436	0.117077828	0.002457642	5.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
