fishery,management_area,target,crab_year,sex,size,molting,soft,new,old,very_old,unknown,total
TT13,bristol_bay,tanner_crab,2013,male,96,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,97,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,98,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,99,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,100,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,102,0,0,5,0,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,103,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,104,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,105,0,0,8,0,0,0,8
TT13,bristol_bay,tanner_crab,2013,male,106,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,107,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,108,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,109,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,110,0,0,8,0,0,0,8
TT13,bristol_bay,tanner_crab,2013,male,111,0,0,6,0,0,0,6
TT13,bristol_bay,tanner_crab,2013,male,112,0,0,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,113,0,0,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,114,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,male,115,0,0,7,0,0,0,7
TT13,bristol_bay,tanner_crab,2013,male,116,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,117,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,118,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,119,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,120,0,0,2,1,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,121,0,0,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,122,0,0,3,1,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,123,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,124,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,male,125,0,0,5,0,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,126,0,0,2,1,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,127,0,0,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,129,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,130,0,0,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,131,0,0,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,133,0,0,3,1,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,134,0,0,1,2,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,135,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,137,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,138,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,139,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,140,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,141,0,0,3,1,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,142,0,0,2,1,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,143,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,144,0,0,5,1,0,0,6
TT13,bristol_bay,tanner_crab,2013,male,145,0,0,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,146,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,147,0,0,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,148,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,150,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,151,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,153,0,0,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,154,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,155,0,0,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,156,0,0,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,158,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,159,0,0,5,0,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,160,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,162,0,0,1,2,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,164,0,0,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,165,0,0,0,0,1,0,1
TT13,bristol_bay,tanner_crab,2013,male,166,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,167,0,0,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,168,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,169,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,170,0,0,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,175,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,176,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,178,0,0,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,188,0,0,0,0,1,0,1
TT13,bristol_bay,tanner_crab,2013,female,90,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,female,91,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,female,92,0,0,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,female,93,0,0,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,female,94,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,female,95,0,0,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,female,96,0,0,6,0,0,0,6
TT13,bristol_bay,tanner_crab,2013,female,97,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,female,98,0,0,7,0,0,0,7
TT13,bristol_bay,tanner_crab,2013,female,99,0,0,15,0,0,0,15
TT13,bristol_bay,tanner_crab,2013,female,100,0,0,24,0,0,0,24
TT13,bristol_bay,tanner_crab,2013,female,101,0,0,30,0,0,0,30
TT13,bristol_bay,tanner_crab,2013,female,102,0,0,34,0,0,0,34
TT13,bristol_bay,tanner_crab,2013,female,103,0,0,26,0,0,0,26
TT13,bristol_bay,tanner_crab,2013,female,104,0,0,33,0,0,0,33
TT13,bristol_bay,tanner_crab,2013,female,105,0,0,27,0,0,0,27
TT13,bristol_bay,tanner_crab,2013,female,106,0,0,21,0,0,0,21
TT13,bristol_bay,tanner_crab,2013,female,107,0,0,20,0,0,0,20
TT13,bristol_bay,tanner_crab,2013,female,108,0,0,27,0,0,0,27
TT13,bristol_bay,tanner_crab,2013,female,109,0,0,22,0,0,0,22
TT13,bristol_bay,tanner_crab,2013,female,110,0,0,8,0,0,0,8
TT13,bristol_bay,tanner_crab,2013,female,111,0,0,17,0,0,0,17
TT13,bristol_bay,tanner_crab,2013,female,112,0,0,16,0,0,0,16
TT13,bristol_bay,tanner_crab,2013,female,113,0,0,8,0,0,0,8
TT13,bristol_bay,tanner_crab,2013,female,114,0,0,14,0,0,0,14
TT13,bristol_bay,tanner_crab,2013,female,115,0,0,10,0,0,0,10
TT13,bristol_bay,tanner_crab,2013,female,116,0,0,6,0,0,0,6
TT13,bristol_bay,tanner_crab,2013,female,117,0,0,8,0,0,0,8
TT13,bristol_bay,tanner_crab,2013,female,118,0,0,5,0,0,0,5
TT13,bristol_bay,tanner_crab,2013,female,119,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,female,120,0,0,9,0,0,0,9
TT13,bristol_bay,tanner_crab,2013,female,121,0,0,14,0,0,0,14
TT13,bristol_bay,tanner_crab,2013,female,122,0,0,7,0,0,0,7
TT13,bristol_bay,tanner_crab,2013,female,123,0,0,11,0,0,0,11
TT13,bristol_bay,tanner_crab,2013,female,124,0,0,4,0,0,0,4
